"tree_node_id";"period_id";"state_id";"effect_id";"currency_id";"financials_decumulated_amount";"financials_cumulated_amount";"financials_base_currency_flag";"snapshot_date"
"775a5e7cbee04472b93ca84b16d7d0b6";"20201231";Valeur Actuelle;Nombre d'accompagnements dispensés - FUM;EUR;2;2;true;"2021-01-28 23:59:59"
"31e971c9231e4e4a8f4517870ddf4da3";"20201231";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;48;48;true;"2021-01-28 23:59:59"
"31e971c9231e4e4a8f4517870ddf4da3";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;24;24;true;"2021-01-28 23:59:59"
"31e971c9231e4e4a8f4517870ddf4da3";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;24;24;true;"2021-01-28 23:59:59"
"31e971c9231e4e4a8f4517870ddf4da3";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;48;48;true;"2021-01-28 23:59:59"
d7a63d18edff4072b80ce3ccfabb6b77;"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;397;397;true;"2021-01-28 23:59:59"
d7a63d18edff4072b80ce3ccfabb6b77;"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;246;246;true;"2021-01-28 23:59:59"
fdbdbb07c6304d1bb4f18413af7905a7;"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;0;0;true;"2021-01-28 23:59:59"
fdbdbb07c6304d1bb4f18413af7905a7;"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;2;2;true;"2021-01-28 23:59:59"
"7e9769021a4b4ccea6737a530ac8ce0c";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;7;7;true;"2021-01-28 23:59:59"
"7e9769021a4b4ccea6737a530ac8ce0c";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;8;8;true;"2021-01-28 23:59:59"
"7e9769021a4b4ccea6737a530ac8ce0c";"20201231";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;7;7;true;"2021-01-28 23:59:59"
"7e9769021a4b4ccea6737a530ac8ce0c";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;8;8;true;"2021-01-28 23:59:59"
"92b3f77124844776bfff77240caa4f42";"20201231";Valeur Actuelle;Nombre de projets soutenus - DGA;EUR;0;0;true;"2021-01-28 23:59:59"
"4d33a36d9e8c4f91a64bb51a2709e27a";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;0;0;true;"2021-01-28 23:59:59"
"4d33a36d9e8c4f91a64bb51a2709e27a";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;0;0;true;"2021-01-28 23:59:59"
"4d33a36d9e8c4f91a64bb51a2709e27a";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;0;0;true;"2021-01-28 23:59:59"
"4d33a36d9e8c4f91a64bb51a2709e27a";"20201231";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;0;0;true;"2021-01-28 23:59:59"
"9fc783b842cd468e919c289dfd9f510a";"20201130";Valeur Actuelle;Emissions de gaz à effet de serre évitées sur la durée de vie des équipements - PEE;EUR;0;0;true;"2021-01-28 23:59:59"
"9fc783b842cd468e919c289dfd9f510a";"20201231";Valeur Actuelle;Nombre d’entreprises ayant reçu l’aide - PEE;EUR;0;0;true;"2021-01-28 23:59:59"
"9fc783b842cd468e919c289dfd9f510a";"20201231";Valeur Actuelle;Emissions de gaz à effet de serre évitées sur la durée de vie des équipements - PEE;EUR;0;0;true;"2021-01-28 23:59:59"
"9fc783b842cd468e919c289dfd9f510a";"20201231";Valeur Actuelle;Montant cumulé de l’investissement total ainsi déclenché - PEE;EUR;0;0;true;"2021-01-28 23:59:59"
"9fc783b842cd468e919c289dfd9f510a";"20201130";Valeur Actuelle;Montant cumulé de l’investissement total ainsi déclenché - PEE;EUR;0;0;true;"2021-01-28 23:59:59"
"9fc783b842cd468e919c289dfd9f510a";"20201130";Valeur Actuelle;Nombre d’entreprises ayant reçu l’aide - PEE;EUR;0;0;true;"2021-01-28 23:59:59"
cc9725edf737443ab3d711a56b3ff784;"20201231";Valeur Actuelle;Nombre d'accompagnements dispensés - FUM;EUR;2;2;true;"2021-01-28 23:59:59"
"90af642814c549f58a291f8b0e674fef";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;4;4;true;"2021-01-28 23:59:59"
"90af642814c549f58a291f8b0e674fef";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;6;6;true;"2021-01-28 23:59:59"
"90af642814c549f58a291f8b0e674fef";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;4;4;true;"2021-01-28 23:59:59"
"90af642814c549f58a291f8b0e674fef";"20201231";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;6;6;true;"2021-01-28 23:59:59"
ce43c4f88867413f94668239b61e71a0;"20201231";Valeur Actuelle;Nombre d’entreprises ayant reçu l’aide - EEI;EUR;1;1;true;"2021-01-28 23:59:59"
ce43c4f88867413f94668239b61e71a0;"20201231";Valeur Actuelle;Nombre de PME/TPE - EEI;EUR;0;0;true;"2021-01-28 23:59:59"
"74dcf59c07a4498db263545322921883";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - PIT;EUR;4;4;true;"2021-01-28 23:59:59"
"74dcf59c07a4498db263545322921883";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - PIT;EUR;5;5;true;"2021-01-28 23:59:59"
"74dcf59c07a4498db263545322921883";"20201130";Valeur Actuelle;Montant total des projets - PIT;EUR;398280000;398280000;true;"2021-01-28 23:59:59"
"4c660d7987314fafb5b4af245b64be4a";"20201231";Valeur Actuelle;Nombre de projets soutenus - DGA;EUR;45;45;true;"2021-01-28 23:59:59"
"7556d0b1a638429bafba99273686619c";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;145;145;true;"2021-01-28 23:59:59"
"7556d0b1a638429bafba99273686619c";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;117;117;true;"2021-01-28 23:59:59"
"040c6753b99947f599849520bed3b59f";"20201231";Valeur Actuelle;Nombre d'accompagnements dispensés - FUM;EUR;13;13;true;"2021-01-28 23:59:59"
"47c2cf9097454ce59f3f796f8da61b83";"20201231";Valeur Actuelle;Nombre d’entreprises ayant reçu l’aide - EEI;EUR;1;1;true;"2021-01-28 23:59:59"
"47c2cf9097454ce59f3f796f8da61b83";"20201231";Valeur Actuelle;Nombre de PME/TPE - EEI;EUR;0;0;true;"2021-01-28 23:59:59"
"4ad1124391b146648082047e84005f9e";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - PIT;EUR;1;1;true;"2021-01-28 23:59:59"
"4ad1124391b146648082047e84005f9e";"20201130";Valeur Actuelle;Montant total des projets - PIT;EUR;6465790;6465790;true;"2021-01-28 23:59:59"
"4ad1124391b146648082047e84005f9e";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - PIT;EUR;2;2;true;"2021-01-28 23:59:59"
"5f44fd60f1e0410da2a705f02486e087";"20201231";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;13;13;true;"2021-01-28 23:59:59"
"5f44fd60f1e0410da2a705f02486e087";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;9;9;true;"2021-01-28 23:59:59"
"5f44fd60f1e0410da2a705f02486e087";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;9;9;true;"2021-01-28 23:59:59"
"5f44fd60f1e0410da2a705f02486e087";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;13;13;true;"2021-01-28 23:59:59"
"91300c9f6f9245ef86e47959b9adb2e8";"20201231";Valeur Actuelle;Nombre de projets soutenus - DGA;EUR;0;0;true;"2021-01-28 23:59:59"
"29f7929690f94863aa04ac3f1935e3b6";"20201231";Valeur Actuelle;Nombre d'accompagnements dispensés - FUM;EUR;45;45;true;"2021-01-28 23:59:59"
"54941f48d9cf4498941d6615e2d2f92b";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;0;0;true;"2021-01-28 23:59:59"
"54941f48d9cf4498941d6615e2d2f92b";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;0;0;true;"2021-01-28 23:59:59"
"5d594b9e27cc45a9b6122629fe9a2a8c";"20201231";Valeur Actuelle;Nombre de projets soutenus - DGA;EUR;5;5;true;"2021-01-28 23:59:59"
c40f3e6a97664bfd9a7c97d99e043e37;"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;0;0;true;"2021-01-28 23:59:59"
c40f3e6a97664bfd9a7c97d99e043e37;"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;0;0;true;"2021-01-28 23:59:59"
"50ed59914a164e2f8a74fd60aa483a2e";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;7;7;true;"2021-01-28 23:59:59"
"50ed59914a164e2f8a74fd60aa483a2e";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;10;10;true;"2021-01-28 23:59:59"
"50ed59914a164e2f8a74fd60aa483a2e";"20201231";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;10;10;true;"2021-01-28 23:59:59"
"50ed59914a164e2f8a74fd60aa483a2e";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;7;7;true;"2021-01-28 23:59:59"
"02077b038bed476eae706b0d2fc0f47f";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;11;11;true;"2021-01-28 23:59:59"
"02077b038bed476eae706b0d2fc0f47f";"20201231";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;24;24;true;"2021-01-28 23:59:59"
"02077b038bed476eae706b0d2fc0f47f";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - SBF;EUR;24;24;true;"2021-01-28 23:59:59"
"02077b038bed476eae706b0d2fc0f47f";"20201130";Valeur Actuelle;Nombre d’entreprises bénéficiares - SBF;EUR;11;11;true;"2021-01-28 23:59:59"
c2b8c7d5cebb4e5cb44788b2a52f5d6a;"20201231";Valeur Actuelle;Nombre de projets soutenus - DGA;EUR;1;1;true;"2021-01-28 23:59:59"
"78750093eb47400babd53b2c970f69de";"20201231";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;1;1;true;"2021-01-28 23:59:59"
"78750093eb47400babd53b2c970f69de";"20201130";Valeur Actuelle;Nombre de TPE/PME/ETI bénéficiaires - APR;EUR;0;0;true;"2021-01-28 23:59:59"
