"state_id";"state_display_name";"state_order";"snapshot_date"
"Valeur Actuelle";"Valeur Actuelle";"3";"2021-03-10T23:59:59.0000000"
"AE";"AE";"9001";"2021-03-10T23:59:59.0000000"
"Actuals";"ACTUALS & FORECAST";"1";"2021-03-10T23:59:59.0000000"
"";"";"";"2021-03-10T23:59:59.0000000"
"Objectifs";"Valeur Cible";"4";"2021-03-10T23:59:59.0000000"
"Payé";"Payé";"9004";"2021-03-10T23:59:59.0000000"
"Engagé";"Engagé";"9003";"2021-03-10T23:59:59.0000000"
"CP";"CP";"9002";"2021-03-10T23:59:59.0000000"
"Budget";"BUDGET";"2";"2021-03-10T23:59:59.0000000"
