"tree_node_id";"period_id";"state_id";"effect_id";"currency_id";"financials_decumulated_amount";"financials_cumulated_amount";"financials_base_currency_flag";"financials_level_aggregation";"snapshot_date"
bb3701b30aaf4122af2b23ca917fec73;"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;641;641;true;;"2021-02-18 23:59:59"
bb3701b30aaf4122af2b23ca917fec73;"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1607;1607;true;;"2021-02-18 23:59:59"
bb3701b30aaf4122af2b23ca917fec73;"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1311;1311;true;;"2021-02-18 23:59:59"
bb3701b30aaf4122af2b23ca917fec73;"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;2918;2918;true;;"2021-02-18 23:59:59"
"3eda7522a2894f99918c3aa32b45caf7";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;583;583;true;;"2021-02-18 23:59:59"
"3eda7522a2894f99918c3aa32b45caf7";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;648;648;true;;"2021-02-18 23:59:59"
"3eda7522a2894f99918c3aa32b45caf7";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;525;525;true;;"2021-02-18 23:59:59"
"3eda7522a2894f99918c3aa32b45caf7";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1108;1108;true;;"2021-02-18 23:59:59"
"3eda7522a2894f99918c3aa32b45caf7";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;648;648;true;;"2021-02-18 23:59:59"
"3eda7522a2894f99918c3aa32b45caf7";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1756;1756;true;;"2021-02-18 23:59:59"
"7f3c3790e314440c888d466b87aa0d8f";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;140;140;true;;"2021-02-18 23:59:59"
