"property_id";"property_display_name";"property_type";"property_update_behavior";"property_visibility";"property_is_system";"property_section";"property_is_mandatory";"property_default_value";"property_phases";"property_description";"property_roles";"property_rights";"snapshot_date"
"Responsable remontée des données - Académie";"Responsable remontée des données";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"6917529027641081859";"4611686082851897871";"2021-03-10T23:59:59.0000000"
"Equipe Académique Plan de relance";"Equipe Académique Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Axe";"Axe";"List";"AdminOnly";"All";"False";"Informations structurelles";"False";"Indéfini";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Autre_ministre_secrétaire_d_Etat_participant";"Autre ministre / secrétaire d'Etat participant";"List";"AdminOnly";"All";"False";"Informations structurelles";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Présence d'un indicateur métier";"Présence d'un indicateur métier";"List";"AdminOnly";"All";"False";"Tags sur les mesures";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Référent National";"Référent Opérateur National";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509511";"2021-03-10T23:59:59.0000000"
"Identifiant d'activité Chorus";"Identifiant d'activité Chorus";"Text";"AdminOnly";"AdminOnly";"False";"Général (ne pas modifier)";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Principaux jalons à fin 2022";"Principaux jalons à fin 2022";"Text";"NoValidation";"All";"False";"Tuiles";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Référent Relance";"Référent Relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64449675271";"2021-03-10T23:59:59.0000000"
"Responsable FR";"Responsable France Relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"6917529027641081859";"4611686048517324871";"2021-03-10T23:59:59.0000000"
"Hidden Meteo";"Hidden Meteo";"ImageList";"NoValidation";"Hidden";"False";"Général (ne pas modifier)";"";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Référent Région Académique Plan de relance";"Référent Région Académique Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Référent Régional Plan de relance";"Référent Régional Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Equipe Tribunal Judiciaire Plan de relance";"Equipe Tribunal Judiciaire Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Sous-périmètre thématique 2";"Sous-périmètre thématique 2";"List";"NoValidation";"All";"False";"Général (ne pas modifier)";"False";"Aucun";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Action";"Action";"List";"AdminOnly";"All";"False";"Informations structurelles";"False";"Indéfini";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Description de la mesure / des indicateurs";"Description de la mesure / des indicateurs";"Text";"NoValidation";"All";"False";"Tuiles";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Progress";"Progrès";"Number";"NoValidation";"All";"True";"Tuiles";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Milestone Achievement Date";"Achievement Date";"Date";"ValidationRequired";"All";"True";"Général (ne pas modifier)";"";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Equipe Cour d'appel Plan de relance";"Equipe Cour d'appel Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Comment";"Commentaire";"Text";"NoValidation";"All";"False";"Tuiles";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Commentaires sur les dernières valeurs des indicateurs";"Commentaires sur les dernières valeurs des indicateurs";"Text";"NoValidation";"All";"False";"Tuiles";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Référent Départemental Plan de relance";"Référent Départemental Plan de relance";"Group";"NoValidation";"All";"False";"Equipe";"False";"";"";"";"3";"64424509447";"2021-03-10T23:59:59.0000000"
"Meteo";"Météo";"ImageList";"NoValidation";"All";"False";"Tuiles";"False";"";"";"";"";"";"2021-03-10T23:59:59.0000000"
"Particuliers";"Particuliers";"List";"NoValidation";"All";"False";"Tags sur les mesures";"False";"";"";"Bénéficiaires";"";"";"2021-03-10T23:59:59.0000000"
