"property_id";"property_display_name";"property_type";"property_update_behavior";"property_visibility";"property_is_system";"property_section";"property_is_mandatory";"property_default_value";"property_phases";"property_description";"property_roles";"property_rights";"snapshot_date"
Principaux jalons à fin 2022;Principaux jalons à fin 2022;Text;NoValidation;All;false;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
Accès en consultation - Pays;Accès en consultation;Group;NoValidation;All;false;Equipe;false;"";"";"";"0";"21474836517";"2021-02-10 23:59:59"
Responsable FR;Responsable France Relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686048517324871";"2021-02-10 23:59:59"
Responsable remontée des données - Pays;Responsable remontée des données;Group;NoValidation;All;false;Equipe;false;"";"";"";"6917529027641081859";"4611686082851897359";"2021-02-10 23:59:59"
Référent Cour d'appel Plan de relance;Référent Cour d'appel Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Difficultés rencontrées et risques anticipés;Difficultés rencontrées et risques anticipés;Text;NoValidation;All;false;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
Enveloppe Financière (en M€);Enveloppe Financière (en M€);Number;NoValidation;All;false;Tuiles;false;"";"";"";"";"";"2021-02-10 23:59:59"
Référent Ministère;Référent Ministère;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Start Date;Start Date;Date;ValidationRequired;All;true;Général;;"";"";"";"";"";"2021-02-10 23:59:59"
Accès en consultation - Département;Accès en consultation;Group;NoValidation;All;false;Equipe;false;"";"";"";"0";"21474836517";"2021-02-10 23:59:59"
Equipe Académique Plan de relance;Equipe Académique Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Equipe Départementale Plan de relance;Equipe Départementale Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509447";"2021-02-10 23:59:59"
Maturity;Maturity;List;ValidationRequired;All;true;Général;;"";"";"";"";"";"2021-02-10 23:59:59"
Objectifs de la mesure;Objectifs de la mesure;Text;AdminOnly;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Référent Pays Plan de relance;Référent Pays Plan de relance;Group;NoValidation;All;false;Equipe;false;"";"";"";"3";"64424509455";"2021-02-10 23:59:59"
Accès en consultation - Cour d'appel;Accès en consultation;Group;NoValidation;All;false;Equipe;false;"";"";"";"0";"21474836517";"2021-02-10 23:59:59"
Hidden Progress;Hidden Progress;Number;NoValidation;Hidden;true;Général;;"";"";"";"";"";"2021-02-10 23:59:59"
Hidden Trends;Hidden Trends;ImageList;NoValidation;Hidden;false;Général;;"";"";"";"";"";"2021-02-10 23:59:59"
Hidden Meteo;Hidden Meteo;ImageList;NoValidation;Hidden;false;Général;;"";"";"";"";"";"2021-02-10 23:59:59"
Mesure OVQ;Mesure OVQ;List;NoValidation;All;false;Général;false;Non-défini;"";"";"";"";"2021-02-10 23:59:59"
Département;Département;List;AdminOnly;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Région;Région;List;AdminOnly;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Date de début de mise en oeuvre de la mesure;Date de début de mise en oeuvre de la mesure;Date;AdminOnly;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Acteurs en charge de l'exécution de la mesure;Acteurs en charge de l'exécution de la mesure;List;AdminOnly;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Date de fin de mise en œuvre de la mesure;Date de fin de mise en œuvre de la mesure;Date;NoValidation;All;false;Général;false;"";"";"";"";"";"2021-02-10 23:59:59"
Accès en consultation - Mesure & Top;Accès en consultation;Group;NoValidation;All;false;Equipe;false;"";"";"";"0";"21500002341";"2021-02-10 23:59:59"
