"effect_id","parent_id","effect_original_aggregation","effect_aggregation","effect_year_aggregation","effect_total_aggregation","effect_is_auto_calculated","effect_is_bold","effect_description","effect_is_italic","effect_order","effect_is_not_currency","effect_restriction","effect_is_calculation","effect_calculation_formula","effect_tags","snapshot_date"
Montant des financements engagés par les opérateurs - MTV,,None,None,None,None,false,false,"",false,327,true,"",false,"","{periodicity:quarterly,PIA,Entreprises,aggregated}","2021-03-05 23:59:59"
Nombre de places d’Ehpad créées ou rénovées - SMS,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/11/2021,false,355,true,"",false,"","{Administrations,periodicity:monthly,effect:main,Plan de Relance européen,planningdate:112021,aggregated}","2021-03-05 23:59:59"
Nombre d’entreprises - BPI,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 17/11/2020,false,135,true,"",false,"","{aggregated,planningdate:112020,effect:main,Plan de Relance européen,Entreprises,periodicity:monthly}","2021-03-05 23:59:59"
Nombre de stratégies validées - ICC,,None,None,None,None,false,false,"",false,316,true,"",false,"","{periodicity:monthly,aggregated,Entreprises,PIA}","2021-03-05 23:59:59"
Nombre d’entreprises bénéficiaires - SAC,,None,None,None,None,false,false,"Nombre de lauréats. Dans certains cas il peut y avoir pour un même projet, deux lauréats dans deux départements différents. La somme des informations départementales n’est donc pas égale à la somme des informations régionales.",false,228,true,"",false,"","{tableau de bord,appel à projets,Entreprises,cumulated,effect:main,aggregated,periodicity:monthly}","2021-03-05 23:59:59"
Nombre de PME - BPI,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 17/11/2020,false,145,true,"",false,"","{Entreprises,aggregated,periodicity:monthly,planningdate:112020}","2021-03-05 23:59:59"
Volume d’hydrogène soutenu - MDS,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur : 30/09/2022,false,565,true,"",false,"","{effect:main,appel à projets,periodicity:monthly,aggregated,Convention citoyenne pour le climat,Entreprises}","2021-03-05 23:59:59"
Nombre de projets de tourisme durable financés - TDU,,None,None,None,None,false,false,"",false,65,true,"",false,"","{Entreprises,aggregated,periodicity:monthly,effect:main}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - APR,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020,false,246,true,"",false,"","{cumulated,tableau de bord,Entreprises,periodicity:monthly,planningdate:112020,aggregated,effect:main}","2021-03-05 23:59:59"
Nombre de projets de rénovation de cathédrales et de monuments nationaux initiés - PAE,,None,None,None,None,false,false,Marchés notifiés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/06/2021,false,90,true,"",false,"","{effect:main,tableau de bord,Entreprises,cumulated,aggregated,Plan de Relance européen,periodicity:monthly,planningdate:062021}","2021-03-05 23:59:59"
Nombre d’entreprises bénéficiaires - MNS,,None,None,None,None,false,false,"",false,263,true,"",false,"","{PIA,periodicity:quarterly,aggregated,Entreprises,Plan de Relance européen}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - IFS,,None,None,None,None,false,false,"",false,192,true,"",false,"","{Plan de Relance européen,periodicity:quarterly,effect:main,appel à projets,Entreprises,aggregated,PIA}","2021-03-05 23:59:59"
Montant des subventions apportées - IDF,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur : 28/02/2021,false,265,true,"",false,"","{Plan de Relance européen,periodicity:monthly,tableau de bord,aggregated,Entreprises,planningdate:022021}","2021-03-05 23:59:59"
Pourcentage des entreprises réalisant un état des GES en début ou en fin de période - PVG,,None,None,None,None,false,false,"",false,178,true,"",false,"",{},"2021-03-05 23:59:59"
Montant cumulé de l’investissement total ainsi déclenché - CBC,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: Janvier 2021 ou février 2021,false,143,true,"",false,"","{Convention citoyenne pour le climat,cumulated,Plan de Relance européen,unit:M€,aggregated,periodicity:monthly,appel à projets,tableau de bord,Entreprises,planningdate:012021}","2021-03-05 23:59:59"
Montant des financements engagés par les opérateurs - ICC,,None,None,None,None,false,false,"",false,332,true,"",false,"","{periodicity:quarterly,PIA,Entreprises,aggregated}","2021-03-05 23:59:59"
Nombre de projets d’investissement structurants - SHO,,None,None,None,None,false,false,"",false,360,true,"",false,"","{aggregated,effect:main,periodicity:yearly,Administrations,Plan de Relance européen}","2021-03-05 23:59:59"
Nombre de conseillers du numérique - INU,,None,None,None,None,false,false,"",false,60,true,"",false,"","{Particuliers,effect:main,Plan de Relance européen,periodicity:monthly,aggregated}","2021-03-05 23:59:59"
Montant total des investissements ainsi déclenchés (effet de levier) - AFG,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021,false,220,true,"",false,"","{planningdate:072021,Collectivités territoriales,periodicity:monthly,Entreprises,Plan de Relance européen,cumulated,tableau de bord,aggregated,unit:M€}","2021-03-05 23:59:59"
Montant total investi pour la rénovation de monuments historiques appartenant aux collectivités territoriales - PAT,,None,None,None,None,false,false,"Tous financements cumulés (Etat, collectivités locales, autres). Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020",false,100,true,"",false,"","{unit:M€,Entreprises,aggregated,tableau de bord,cumulated,Plan de Relance européen,periodicity:monthly,planningdate:092020}","2021-03-05 23:59:59"
Nombre d’entreprises bénéficiaires du dispositif - MIR,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/03/2021,false,125,true,"",false,"","{appel à projets,periodicity:quarterly,planningdate:032021,Entreprises,cumulated,aggregated,Plan de Relance européen,effect:main}","2021-03-05 23:59:59"
Nombre d’appels à projet lancés - ICC,,None,None,None,None,false,false,"",false,323,true,"",false,"","{Entreprises,aggregated,periodicity:monthly,PIA}","2021-03-05 23:59:59"
"Nombre de chantiers engagés par VNF (écluses stations pompages, barrages) - VNA",,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020,false,530,true,"",false,"","{Plan de Relance européen,aggregated,Convention citoyenne pour le climat,cumulated,planningdate:112020,Administrations,periodicity:monthly}","2021-03-05 23:59:59"
Nombre de projets soutenus - DGA,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020,false,428,true,"",false,"","{planningdate:092020,Plan de Relance européen,Convention citoyenne pour le climat,Administrations,Entreprises,cumulated,aggregated,effect:main,periodicity:monthly}","2021-03-05 23:59:59"
Montant cumulé de l’investissement total ainsi déclenché - FAA,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/12/2020,false,144,true,"",false,"","{tableau de bord,Entreprises,periodicity:monthly,aggregated,planningdate:122020}","2021-03-05 23:59:59"
Montant des financements engagés par les opérateurs - DRA,,None,None,None,None,false,false,"",false,129,true,"",false,"","{PIA,periodicity:monthly,aggregated,Plan de Relance européen}","2021-03-05 23:59:59"
Nombre de bonus octroyés à des véhicules électriques et hybrides rechargeables - BOE,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020,false,555,true,"",false,"","{aggregated,Plan de Relance européen,effect:main,Convention citoyenne pour le climat,tableau de bord,periodicity:monthly,planningdate:072020,Particuliers}","2021-03-05 23:59:59"
Nombre de villes bénéficiaires - DVD,,None,None,None,None,false,false,Nombre de villes bénéficiaires,false,440,true,"",false,"","{Plan de Relance européen,periodicity:quarterly,appel à projets,PIA,aggregated,Collectivités territoriales}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - MNS,,None,None,None,None,false,false,"",false,247,true,"",false,"","{periodicity:quarterly,PIA,Entreprises,aggregated,Plan de Relance européen}","2021-03-05 23:59:59"
Nombre de formations professionnelles à distance - DFO,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/01/2021,false,640,true,"",false,"","{Plan de Relance européen,effect:main,planningdate:012021,cumulated,periodicity:monthly,Particuliers,aggregated}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - PIT,,None,None,None,None,false,false,"",false,250,true,"",false,"","{appel à projets,Collectivités territoriales,cumulated,periodicity:monthly,tableau de bord,Entreprises,aggregated}","2021-03-05 23:59:59"
Investissement total généré - VDP,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/2021,false,302,true,"",false,"","{Administrations,Collectivités territoriales,periodicity:monthly,cumulated,unit:€,planningdate:012021,aggregated,Entreprises}","2021-03-05 23:59:59"
Emissions de gaz à effet de serre évitées sur la durée de vie des équipements - CBC,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: Janvier 2021 ou février 2021,false,468,true,"",false,"","{Plan de Relance européen,Convention citoyenne pour le climat,planningdate:012021,periodicity:yearly,Entreprises,cumulated,aggregated}","2021-03-05 23:59:59"
Nombre de bâtiments collectivités territoriales dont le marché de rénovation est notifié - RBC,,None,None,None,None,false,false,"",false,80,true,"",false,"","{effect:main,Collectivités territoriales,Plan de Relance européen,periodicity:monthly,tableau de bord,appel à projets,aggregated}","2021-03-05 23:59:59"
Nombre de bénéficiaires de la prime à la conversion des agroéquipements - AEA,,None,None,None,None,false,false,"",false,37,true,"",false,"","{Entreprises,aggregated,periodicity:quarterly,effect:main}","2021-03-05 23:59:59"
Pourcentage des financements améliorant la performance climatique et matière - PVG,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2022,false,175,true,"",false,"","{aggregated,periodicity:monthly,Entreprises,planningdate:012022,cumulated,Plan de Relance européen}","2021-03-05 23:59:59"
Nombre d’abattoirs accompagnés - MDA,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021,false,25,true,"",false,"","{aggregated,periodicity:quarterly,planningdate:042021,cumulated,effect:main,Entreprises}","2021-03-05 23:59:59"
Nombre de kilomètres de voies réservées réalisées - VNA,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/12/2021,false,520,true,"",false,"","{unit:km,planningdate:122021,cumulated,Administrations,aggregated,periodicity:monthly,Convention citoyenne pour le climat,Entreprises}","2021-03-05 23:59:59"
Tonnage annuel de biodéchets soutenu - MCT,,None,None,None,None,false,false,Tonnage annuel de biodéchets soutenu,false,485,true,"",false,"","{aggregated,Entreprises,Plan de Relance européen,Collectivités territoriales,Convention citoyenne pour le climat,periodicity:yearly,appel à projets}","2021-03-05 23:59:59"
Montant total de CO2 évité - ETH,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur : 14/10/2022,false,560,true,"",false,"","{Entreprises,planningdate:102022,Convention citoyenne pour le climat,periodicity:monthly,appel à projets,Collectivités territoriales,aggregated,Plan de Relance européen}","2021-03-05 23:59:59"
Nombre d’entreprises bénéficiaires - APR,,None,None,None,None,false,false,"",false,226,true,"",false,"","{tableau de bord,periodicity:monthly,Entreprises,aggregated}","2021-03-05 23:59:59"
Montant total des levées de fonds - IFP,,None,None,None,None,false,false,"",false,350,true,"",false,"","{Entreprises,aggregated,periodicity:quarterly,Plan de Relance européen,PIA,effect:main}","2021-03-05 23:59:59"
