"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
Nombre de primes à la conversion - DVP;;None;None;None;None;false;false;Nombre de primes à la conversion;false;550;true;"";false;"";{Convention citoyenne pour le climat,Particuliers,tableau de bord,aggregated};"2021-01-28 23:59:59"
Tonnage annuel de biodéchets soutenu - ITS;;None;None;None;None;false;false;Tonnage annuel de biodéchets soutenu;false;485;true;"";false;"";{Entreprises,Collectivités territoriales,Convention citoyenne pour le climat,aggregated,appel à projets};"2021-01-28 23:59:59"
Nombre de projets alimentaires territoriaux soutenus - PSP;;None;None;None;None;false;false;"";false;10;true;"";false;"";{Collectivités territoriales,Entreprises,cumulated,aggregated,appel à projets,Convention citoyenne pour le climat};"2021-01-28 23:59:59"
Nombre d’entreprises bénéficiaires - IDF;;None;None;None;None;false;false;"";false;262;true;"";false;"";{aggregated,tableau de bord,appel à projets,Entreprises};"2021-01-28 23:59:59"
Montant total des prêts verts souscrits - PVG;;None;None;None;None;false;false;"";false;160;true;"";false;"";{cumulated,unit:M€,aggregated,Entreprises};"2021-01-28 23:59:59"
Nombre de projets de rénovation de monuments historiques appartenant aux collectivités territoriales bénéficiaires initiés - PAT;;None;None;None;None;false;false;Marchés notifiés;false;95;true;"";false;"";{tableau de bord,cumulated,Entreprises,aggregated};"2021-01-28 23:59:59"
Nombre de projets des collectivités locales soutenus - SIL;;None;None;None;None;false;false;"";false;63;true;"";false;"";{aggregated,Collectivités territoriales};"2021-01-28 23:59:59"
Nombre d’entrées en service civique - SCI;;None;None;None;None;false;false;"";false;595;true;"";false;"";{Jeunes,aggregated,cumulated,Entreprises,Collectivités territoriales};"2021-01-28 23:59:59"
Montant des financements engagés par les opérateurs - IFS;;None;None;None;None;false;false;"";false;335;true;"";false;"";{PIA,aggregated,Entreprises,appel à projets};"2021-01-28 23:59:59"
"Nombre de dossiers MaPrimeRénov bénéficiaires (""particulier"" et ""copropriété"") - MPR";;None;None;None;None;false;false;Correspond aux dossiers validés;false;390;true;"";false;"";{Particuliers,cumulated,aggregated,Convention citoyenne pour le climat,tableau de bord};"2021-01-28 23:59:59"
Nombre d'entreprises accompagnées - PAM;;None;None;None;None;false;false;"";false;50;true;"";false;"";{Convention citoyenne pour le climat,Entreprises,aggregated,appel à projets,cumulated};"2021-01-28 23:59:59"
Montant des financements engagés par les opérateurs - MTV;;None;None;None;None;false;false;"";false;327;true;"";false;"";{PIA,aggregated,Entreprises};"2021-01-28 23:59:59"
Nombre de places d’Ehpad créées ou rénovées - SMS;;None;None;None;None;false;false;"";false;355;true;"";false;"";{Administrations,aggregated};"2021-01-28 23:59:59"
Nombre d’entreprises - BPI;;None;None;None;None;false;false;"";false;135;true;"";false;"";{Entreprises,aggregated};"2021-01-28 23:59:59"
Nombre de stratégies validées - ICC;;None;None;None;None;false;false;"";false;316;true;"";false;"";{aggregated,PIA,Entreprises};"2021-01-28 23:59:59"
Nombre de projets locaux soutenus  (rénovation, extension, création de lignes- bus, tram, rer, pôles d'échanges) - MEP;;None;None;None;None;false;false;Nombre de projets locaux soutenus  (rénovation, extension, création de lignes- bus, tram, rer, pôles d'échanges);false;503;true;"";false;"";{aggregated,Convention citoyenne pour le climat,Collectivités territoriales,cumulated};"2021-01-28 23:59:59"
Montant cumulé des travaux - RER;;None;None;None;None;false;false;"";false;380;true;"";false;"";{};"2021-01-28 23:59:59"
Nombre de PME - BPI;;None;None;None;None;false;false;"";false;145;true;"";false;"";{Entreprises,aggregated};"2021-01-28 23:59:59"
Volume d’hydrogène soutenu - MDS;;None;None;None;None;false;false;Volume d’hydrogène soutenu;false;565;true;"";false;"";{Convention citoyenne pour le climat,aggregated,Entreprises,appel à projets};"2021-01-28 23:59:59"
Nombre de projets de tourisme durable financés - TDU;;None;None;None;None;false;false;"";false;65;true;"";false;"";{aggregated,Entreprises};"2021-01-28 23:59:59"
Montant cumulé des GES évités associés aux prêts et garanties attribués - PVG;;None;None;None;None;false;false;"";false;185;true;"";false;"";{aggregated,Entreprises,cumulated};"2021-01-28 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - APR;;None;None;None;None;false;false;"";false;246;true;"";false;"";{tableau de bord,Entreprises,cumulated,aggregated};"2021-01-28 23:59:59"
Nombre d’entreprises bénéficiaires - MNS;;None;None;None;None;false;false;"";false;263;true;"";false;"";{Entreprises,PIA,aggregated};"2021-01-28 23:59:59"
