"structure_id","top_level_id","structure_name","structure_is_part_of_update_period","structure_scorecard_frequency","structure_is_hidden","structure_has_correction","structure_level","snapshot_date"
"51fd2a6ea29c4247b7ef63bc67e0ea46","2cefb69d22354e4e9fbda92d29d06963",Département,false,"",false,false,30,"2021-03-05 23:59:59"
d35e6613064a488e8721a2b2d9b8aa5d,"10d719e0c32941dc80af9275413d2e0c",Académie,false,"",false,false,25,"2021-03-05 23:59:59"
f2ddaadd2f874070924743d3db9e9f63,"0d534b1da37e41618105219ca093ad04",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
f2ecb78aa13d4b94aff43bf73ad39b83,aa87e053e2da43c6a5aace7dddb01133,Top,false,"",false,false,0,"2021-03-05 23:59:59"
ece100b190ec4594b4a05561249cdf55,"916b461ec9d04f45b7157a554e904ea0",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
"2cab5d876267485b8d8e198e12ea7ae5","836cc22bc3cf41ebb7ad82feeaed6dbc",Académie,false,"",false,false,25,"2021-03-05 23:59:59"
"67b0adb5ccbd4421976a86937d9d1a5f","523b9e6abd3a4e56a7535e8eee95b78d",Académie,false,"",false,false,25,"2021-03-05 23:59:59"
"81a72a255d334e8f9bd785d227fa7044","9c902e1d0db942309735ab1e4eb19908",Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
e698c51ae0654ab2b90feed9c525bc15,a9483b24a58a4814a2811a8ac6e3f8c7,Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
d147a6b37fe64598b7dcfea1fec76d8c,"47e79c5470f041329f04ad7dd5a03320",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
"200aa62cc3a94ea1b9e2c32421ee70e4",e32e96fc561a43a1b7517325e41cd140,Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
d74ae2c011ce49568cabc9d031e6475e,"7432ab1ac49e439eb921d3fc47f9b3ef",Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
"5f8742d84cf74370b108412bc924fc51","69495a0beee54719a83f022004c9548d",Département,false,"",false,false,30,"2021-03-05 23:59:59"
"3ec3b1b463534eea9fc793ef253b8010",b70bd5a07fd84d25bbbda49cbb77715b,Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
"32afa774e66843c6985a57e184dd6979",a9483b24a58a4814a2811a8ac6e3f8c7,Région,false,"",false,false,20,"2021-03-05 23:59:59"
d313e360f9f3487b955cb257cc443aa1,"3f282353024b4b39b9399fff5f357a70",Top,false,"",false,false,0,"2021-03-05 23:59:59"
a73c57e266e342aebfbc2b6ac33febf9,"836cc22bc3cf41ebb7ad82feeaed6dbc",Région Académique,false,"",false,false,20,"2021-03-05 23:59:59"
ae8a6f7d7253453a810ed0428ddfb8b2,"0d534b1da37e41618105219ca093ad04",Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
e5f1c9dba6024e0e94ac7954c7eae7d1,"7432ab1ac49e439eb921d3fc47f9b3ef",Région,false,"",false,false,20,"2021-03-05 23:59:59"
"9b4904771877425b9643a2ec4a04e668","6d2c9fc81a5d45b7a980b9b627201f7f",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
fe3ea074108f453388bfb4b9df36fb54,"523b9e6abd3a4e56a7535e8eee95b78d",Département,false,Monthly,false,false,30,"2021-03-05 23:59:59"
