"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
Nombre de primes à la conversion - DVP;;None;None;None;None;false;false;Nombre de primes à la conversion;false;550;true;"";false;"";{periodicity:monthly,aggregated,tableau de bord,Convention citoyenne pour le climat,Plan de Relance européen,Particuliers};"2021-02-10 23:59:59"
Nombre de projets alimentaires territoriaux soutenus - PSP;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021;false;10;true;"";false;"";{cumulated,Collectivités territoriales,Entreprises,aggregated,planningdate:042021,appel à projets,periodicity:quarterly,Convention citoyenne pour le climat};"2021-02-10 23:59:59"
Nombre d’entreprises bénéficiaires - IDF;;None;None;None;None;false;false;"";false;262;true;"";false;"";{aggregated,periodicity:monthly,Entreprises,Plan de Relance européen,tableau de bord};"2021-02-10 23:59:59"
Montant total des prêts verts souscrits - PVG;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/03/2021;false;160;true;"";false;"";{periodicity:monthly,Plan de Relance européen,cumulated,aggregated,unit:M€,planningdate:032021,Entreprises};"2021-02-10 23:59:59"
Nombre de projets de rénovation de monuments historiques appartenant aux collectivités territoriales bénéficiaires initiés - PAT;;None;None;None;None;false;false;Marchés notifiés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2021;false;95;true;"";false;"";{Entreprises,aggregated,Plan de Relance européen,cumulated,planningdate:092021,tableau de bord,periodicity:monthly};"2021-02-10 23:59:59"
Nombre de projets des collectivités locales soutenus - SIL;;None;None;None;None;false;false;"";false;63;true;"";false;"";{aggregated,periodicity:monthly,Collectivités territoriales};"2021-02-10 23:59:59"
Nombre d’entrées en service civique - SCI;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020;false;595;true;"";false;"";{Entreprises,aggregated,Collectivités territoriales,Jeunes,periodicity:monthly,Plan de Relance européen,cumulated,planningdate:092020};"2021-02-10 23:59:59"
Montant des financements engagés par les opérateurs - IFS;;None;None;None;None;false;false;"";false;335;true;"";false;"";{Entreprises,appel à projets,aggregated,PIA,Plan de Relance européen,periodicity:quarterly};"2021-02-10 23:59:59"
"Nombre de dossiers MaPrimeRénov bénéficiaires (""particulier"" et ""copropriété"") - MPR";;None;None;None;None;false;false;Correspond aux dossiers validés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/00/2021;false;390;true;"";false;"";{Plan de Relance européen,Convention citoyenne pour le climat,aggregated,Particuliers,periodicity:monthly,cumulated,tableau de bord,planningdate:022021};"2021-02-10 23:59:59"
Nombre d'entreprises accompagnées - PAM;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021;false;50;true;"";false;"";{Entreprises,cumulated,aggregated,planningdate:042021,Convention citoyenne pour le climat,periodicity:quarterly,appel à projets};"2021-02-10 23:59:59"
